siteid,sex,age_group,num_patients,per_patients,P,N,standard_error,95_CI_below,95_CI_above,95_CI_below_x100,95_CI_above_x100
Italy,All,50 - 69,1309,39.666666666666664,0.39666666666666667,1309,0.00018282828282828283,0.3701647208642707,0.4231686124690626,37.01647208642707,42.316861246906264
Italy,Female,50 - 69,475,34.97790868924889,0.34977908689248893,475,0.00047880774161083284,0.30689100206497333,0.39266717172000454,30.689100206497333,39.266717172000455
Italy,Male,50 - 69,834,43.94099051633298,0.4394099051633298,834,0.00029535832183175457,0.4057253607972727,0.47309444952938684,40.57253607972727,47.309444952938684
Italy,Other,50 - 69,0,,,0,,,,,
Singapore,All,50 - 69,11,18.96551724137931,0.1896551724137931,11,0.013971462544589773,0.0,0.4213290175307939,0.0,42.13290175307939
Singapore,Female,50 - 69,5,16.666666666666664,0.16666666666666663,5,0.027777777777777773,0.0,0.4933333333333333,0.0,49.33333333333333
Singapore,Male,50 - 69,6,21.428571428571427,0.21428571428571427,6,0.02806122448979592,0.0,0.5426148174733543,0.0,54.261481747335424
Singapore,Other,50 - 69,0,,,0,,,,,
USA,All,50 - 69,1584,31.372549019607842,0.3137254901960784,1584,0.00013592285795284643,0.2908746422662607,0.33657633812589616,29.087464226626068,33.657633812589616
USA,Female,50 - 69,779,29.165106701609883,0.29165106701609883,779,0.0002651999000314119,0.2597325467502615,0.3235695872819362,25.973254675026148,32.35695872819362
USA,Male,50 - 69,797,34.63711429813125,0.3463711429813125,797,0.00028406295394119407,0.3133369751567632,0.3794053108058618,31.333697515676317,37.94053108058618
USA,Other,50 - 69,0,0.0,0.0,0,,,,,
France,All,70 - 79,1381,11.555518366663877,0.11555518366663878,1381,7.400592555713843e-05,0.09869395110136339,0.13241641623191416,9.86939511013634,13.241641623191416
France,Female,70 - 79,483,7.835820895522389,0.07835820895522388,483,0.00014952008290797797,0.05439164160611675,0.10232477630433101,5.439164160611675,10.2324776304331
France,Male,70 - 79,898,15.528272522911985,0.15528272522911984,898,0.00014606904284469657,0.13159435603678865,0.17897109442145104,13.159435603678865,17.897109442145105
France,Other,70 - 79,0,,,0,,,,,
Germany,All,70 - 79,57,8.49478390461997,0.0849478390461997,57,0.0013637140997821166,0.012567979377069508,0.15732769871532987,1.2567979377069507,15.732769871532987
Germany,Female,70 - 79,25,7.598784194528875,0.07598784194528875,25,0.0028085475928714626,0.0,0.17985947634455585,0.0,17.985947634455584
Germany,Male,70 - 79,32,9.35672514619883,0.0935672514619883,32,0.002650388153619917,0.0,0.19447181593231477,0.0,19.447181593231477
Germany,Other,70 - 79,0,,,0,,,,,
Italy,All,70 - 79,672,20.363636363636363,0.20363636363636364,672,0.0002413223140495868,0.1731886411985048,0.23408408607422249,17.31886411985048,23.40840860742225
Italy,Female,70 - 79,233,17.15758468335788,0.1715758468335788,233,0.0006100325133773352,0.12316612773306788,0.2199855659340897,12.316612773306788,21.99855659340897
Italy,Male,70 - 79,439,23.129610115911486,0.23129610115911486,439,0.0004050073228877161,0.1918515054379587,0.270740696880271,19.18515054379587,27.0740696880271
Italy,Other,70 - 79,0,,,0,,,,,
Singapore,All,70 - 79,1,1.7241379310344827,0.017241379310344827,1,0.01694411414982164,0.0,0.2723737153988046,0.0,27.237371539880463
Singapore,Female,70 - 79,0,0.0,0.0,0,,,,,
Singapore,Male,70 - 79,1,3.571428571428571,0.03571428571428571,1,0.03443877551020408,0.0,0.3994449553037499,0.0,39.944495530374994
Singapore,Other,70 - 79,0,,,0,,,,,
USA,All,70 - 79,428,8.476926123984947,0.08476926123984947,428,0.00018126970464649444,0.05838051937196246,0.11115800310773649,5.838051937196246,11.115800310773649
USA,Female,70 - 79,190,7.113440658929241,0.0711344065892924,190,0.0003477594883604297,0.03458371780665211,0.10768509537193269,3.4583717806652112,10.76850953719327
USA,Male,70 - 79,223,9.691438504997828,0.09691438504997828,223,0.0003924752781182189,0.0580848469582246,0.13574392314173195,5.80848469582246,13.574392314173195
USA,Other,70 - 79,0,0.0,0.0,0,,,,,
France,All,80+,1707,14.283323571249268,0.14283323571249268,1707,7.172343438101476e-05,0.1262340566509214,0.15943241477406395,12.623405665092141,15.943241477406394
France,Female,80+,919,14.909149902660609,0.1490914990266061,919,0.00013804485739347727,0.12606297054207669,0.1721200275111355,12.606297054207669,17.212002751113552
France,Male,80+,788,13.62614559916998,0.1362614559916998,788,0.00014935821269380947,0.11230786524032105,0.16021504674307857,11.230786524032105,16.021504674307856
France,Other,80+,0,,,0,,,,,
Germany,All,80+,64,9.538002980625931,0.09538002980625931,64,0.0013481668706315064,0.023413941610373648,0.167346118002145,2.341394161037365,16.7346118002145
Germany,Female,80+,30,9.118541033434651,0.09118541033434652,30,0.0027623543758834453,0.0,0.19419929566246064,0.0,19.419929566246065
Germany,Male,80+,34,9.941520467836257,0.09941520467836257,34,0.0026332888752094662,0.0,0.19999374385548863,0.0,19.99937438554886
Germany,Other,80+,0,,,0,,,,,
Italy,All,80+,581,17.606060606060606,0.17606060606060606,581,0.0002496786042240588,0.1450902117139539,0.20703100040725822,14.50902117139539,20.703100040725822
Italy,Female,80+,287,21.1340206185567,0.211340206185567,287,0.0005807509527352231,0.16410660733869073,0.2585738050324433,16.410660733869072,25.857380503244332
Italy,Male,80+,294,15.489989462592202,0.15489989462592202,294,0.0004452582220095248,0.11354165499133662,0.19625813426050742,11.35416549913366,19.62581342605074
Italy,Other,80+,0,,,0,,,,,
Singapore,All,80+,0,0.0,0.0,0,,,,,
Singapore,Female,80+,0,0.0,0.0,0,,,,,
Singapore,Male,80+,0,0.0,0.0,0,,,,,
Singapore,Other,80+,0,,,0,,,,,
USA,All,80+,348,6.8924539512774805,0.0689245395127748,348,0.00018440789472909985,0.04230835330228796,0.09554072572326164,4.230835330228796,9.554072572326163
USA,Female,80+,168,6.28977910894796,0.0628977910894796,168,0.0003508432081282368,0.02618540532737699,0.09961017685158222,2.6185405327376987,9.961017685158222
USA,Male,80+,137,5.95393307257714,0.0595393307257714,137,0.00040871823958028185,0.019914439695364633,0.09916422175617817,1.9914439695364634,9.916422175617818
USA,Other,80+,0,0.0,0.0,0,,,,,
